Spp_jetz;animal;Imports
Haliastur_sphenurus;Haliastur_sphenurus;2
Hapalopsittaca_melanotis;Hapalopsittaca_melanotis;50
Harpia_harpyja;Harpia_harpyja;100
Harpyhaliaetus_coronatus;Harpyhaliaetus_coronatus;1
Heliangelus_viola;Heliangelus_viola;588
Heliodoxa_aurescens;Heliodoxa_aurescens;2
Heliodoxa_leadbeateri;Heliodoxa_leadbeateri;4
Heliodoxa_rubinoides;Heliodoxa_rubinoides;43
Heliodoxa_schreibersii;Heliodoxa_schreibersii;20
Heliomaster_furcifer;Heliomaster_furcifer;2
Heliomaster_longirostris;Heliomaster_longirostris;86
Heliothryx_auritus;Heliothryx_auritus;16
Henicopernis_infuscatus;Henicopernis_infuscatus;10
Herpetotheres_cachinnans;Herpetotheres_cachinnans;4
Hieraaetus_ayresii;Hieraaetus_ayresii;22
Hieraaetus_pennatus;Hieraaetus_pennatus;89
Hieraaetus_spilogaster;Hieraaetus_spilogaster;226
Hylocharis_cyanus;Hylocharis_cyanus;25
Hylocharis_leucotis;Hylocharis_leucotis;4
Hylocharis_xantusii;Hylocharis_xantusii;16
Hypargos_niveoguttatus;Hypargos_niveoguttatus;2214
Ichthyophaga_ichthyaetus;Ichthyophaga_ichthyaetus;3
Ictinaetus_malayensis;Ictinaetus_malayensis;4
