"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"97","Andropadus latirostris",137,"Andropadus latirostris","ANLAT02","hANLA1","Haemoproteus","Andropadus latirostris","Andropadus_latirostris","yes","Andropadus latirostris","ANLAT02 Andropadus latirostris","Andropadus latirostris","Passeriformes"
"98","Andropadus milanjensis",138,"Andropadus milanjensis","GRW09","PV12L","Plasmodium","Andropadus milanjensis","Andropadus_milanjensis","yes","Andropadus milanjensis","GRW09 Andropadus milanjensis","Andropadus milanjensis","Passeriformes"
"99","Andropadus virens",139,"Andropadus virens","WW3","WW7","Plasmodium","Andropadus virens","Andropadus_virens","yes","Andropadus virens","WW3 Andropadus virens","Andropadus virens","Passeriformes"
"100","Andropadus virens",140,"Andropadus virens","GRW09","P46","Plasmodium","Andropadus virens","Andropadus_virens","yes","Andropadus virens","GRW09 Andropadus virens","Andropadus virens","Passeriformes"
"101","Anisognathus somptuosus",141,"Anisognathus flavinuchus","ANIFLA01","","Haemoproteus","Anisognathus flavinuchus",NA,NA,"Anisognathus somptuosus","ANIFLA01 Anisognathus somptuosus","Anisognathus somptuosus","Passeriformes"
"102","Anthornis melanura",144,"Anthornis melanura","GRW06","LIN2","Plasmodium","Anthornis melanura","Anthornis_melanura","yes","Anthornis melanura","GRW06 Anthornis melanura","Anthornis melanura","Passeriformes"
"103","Anthornis melanura",145,"Anthornis melanura","BELL01","LIN1","Plasmodium","Anthornis melanura","Anthornis_melanura","yes","Anthornis melanura","BELL01 Anthornis melanura","Anthornis melanura","Passeriformes"
"104","Anthornis melanura",146,"Anthornis melanura","SYAT05","LIN3","Plasmodium","Anthornis melanura","Anthornis_melanura","yes","Anthornis melanura","SYAT05 Anthornis melanura","Anthornis melanura","Passeriformes"
"105","Anthreptes collaris",147,"Hedydipna collaris","PLOPRI01","P34,P35","Plasmodium","Hedydipna collaris","Anthreptes_collaris","no","Anthreptes collaris","PLOPRI01 Anthreptes collaris","Anthreptes collaris","Passeriformes"
"106","Anthreptes collaris",148,"Hedydipna collaris","PYSUN1","PV15,PV15a","Plasmodium","Hedydipna collaris","Anthreptes_collaris","no","Anthreptes collaris","PYSUN1 Anthreptes collaris","Anthreptes collaris","Passeriformes"
"107","Anthreptes collaris",149,"Hedydipna collaris","HEDCOL01","PV39,PV39a","Plasmodium","Hedydipna collaris","Anthreptes_collaris","no","Anthreptes collaris","HEDCOL01 Anthreptes collaris","Anthreptes collaris","Passeriformes"
"108","Anthreptes collaris",150,"Hedydipna collaris","GRW09","P46","Plasmodium","Hedydipna collaris","Anthreptes_collaris","no","Anthreptes collaris","GRW09 Anthreptes collaris","Anthreptes collaris","Passeriformes"
"109","Anthreptes collaris",151,"Hedydipna collaris","RECOB4","PV25","Plasmodium","Hedydipna collaris","Anthreptes_collaris","no","Anthreptes collaris","RECOB4 Anthreptes collaris","Anthreptes collaris","Passeriformes"
"110","Anthreptes fraseri",152,"Deleornis fraseri","RECOB4","","Plasmodium","Deleornis fraseri","Anthreptes_fraseri","no","Anthreptes fraseri","RECOB4 Anthreptes fraseri","Anthreptes fraseri","Passeriformes"
"111","Anthus berthelotii",153,"Anthus berthelotii","REB11","","Leucocytozoon","Anthus berthelotii","Anthus_berthelotii","yes","Anthus berthelotii","REB11 Anthus berthelotii","Anthus berthelotii","Passeriformes"
